,KiraKira,Heart,Notes,Fire,Central line,Rain,Thunder,Lens flare,Comicalize,Blur,Change contrast,Zoom in,Zoom out
celebration,1.471534252166748,0,0,0,0,0,0,0,0,0,0,0,0
girl,0.740201324224472,0,0,0,0,0,0,0,0,0,0,0,0
party,1.443928301334381,0,0,0,0,0,0,0,0,0,0,0,0
blue sky,0.5413656830787659,0,0,0,0,0,0,0,0,0,0,0,0
turquoise,0.540727436542511,0,0,0,0,0,0,0,0,0,0,0,0
ship,0.5388627052307129,0,0,0,0,0,0,0,0,0,0,0,0
horizontal,1.4751828908920288,0,0,0,0,0,0,0,0,0,0,0,0
friendship,1.4845248460769653,0,0,0,0,0,0,0,0,0,0,0,0
harbor,0.5297966003417969,0,0,0,0,0,0,0,0,0,0,0,0
audience,0.5239197015762329,0,0,0,0,0,0,0,0,0,0,0,0
destination,0.5198915004730225,0,0,0,0,0,0,0,0,0,0,0,0
color,0.5112793445587158,0,0,0,0,0,0,0,0,0,0,0,0
architecture,0.5098819732666016,0,0,0,0,0,0,0,0,0,0,0,0
sand,0.5049237608909607,0,0,0,0,0,0,0,0,0,0,0,0
town,0.5035212635993958,0,0,0,0,0,0,0,0,0,0,0,0
castle,0.5032615065574646,0,0,0,0,0,0,0,0,0,0,0,0
squad,0.503186821937561,0,0,0,0,0,0,0,0,0,0,0,0
tropical,0.48975586891174316,0,0,0,0,0,0,0,0,0,0,0,0
idyllic,0.4860086441040039,0,0,0,0,0,0,0,0,0,0,0,0
oar,0.4857558310031891,0,0,0,0,0,0,0,0,0,0,0,0
sunglasses,0.4799790382385254,0,0,0,0,0,0,0,0,0,0,0,0
sight,0.4778063893318176,0,0,0,0,0,0,0,0,0,0,0,0
wheel,0.4777153730392456,0,0,0,0,0,0,0,0,0,0,0,0
environment,0.4742225110530853,0,0,0,0,0,0,0,0,0,0,0,0
parade,0.4722992181777954,0,0,0,0,0,0,0,0,0,0,0,0
cheerful,1.321007788181305,0,0,0,0,0,0,0,0,0,0,0,0
democracy,0.7307768762111664,0,0,0,0,0,0,0,0,0,0,0,0
public,0.4473421573638916,0,0,0,0,0,0,0,0,0,0,0,0
togetherness,1.4141733646392822,0,0,0,0,0,0,0,0,0,0,0,0
